m/z,Intensity,Index,Scan_ID,Source_File
358.9375,2754.9429,2543,0,Cytochrome_C.mzML
359.3125,23238.828,2549,0,Cytochrome_C.mzML
359.8125,26614.8,2557,0,Cytochrome_C.mzML
360.4375,216.62857,2567,0,Cytochrome_C.mzML
360.75,31704.258,2572,0,Cytochrome_C.mzML
361.25,8707.942,2580,0,Cytochrome_C.mzML
361.5,8011.5713,2584,0,Cytochrome_C.mzML
361.75,23994.828,2588,0,Cytochrome_C.mzML
361.9375,42955.43,2591,0,Cytochrome_C.mzML
362.75,6569.514,2604,0,Cytochrome_C.mzML
363.25,114947.8,2612,0,Cytochrome_C.mzML
363.75,45340.688,2620,0,Cytochrome_C.mzML
364.1875,27620.428,2627,0,Cytochrome_C.mzML
365.25,476095.44,2644,0,Cytochrome_C.mzML
365.625,26935.4,2650,0,Cytochrome_C.mzML
366.3125,60109.8,2661,0,Cytochrome_C.mzML
366.8125,16763.742,2669,0,Cytochrome_C.mzML
367.125,33983.37,2674,0,Cytochrome_C.mzML
367.4375,64261.0,2679,0,Cytochrome_C.mzML
367.8125,20323.97,2685,0,Cytochrome_C.mzML
368.3125,70223.086,2693,0,Cytochrome_C.mzML
368.625,4522.057,2698,0,Cytochrome_C.mzML
369.125,83769.914,2706,0,Cytochrome_C.mzML
369.375,32659.455,2710,0,Cytochrome_C.mzML
369.8125,76885.66,2717,0,Cytochrome_C.mzML
370.375,20964.514,2726,0,Cytochrome_C.mzML
370.875,41589.17,2734,0,Cytochrome_C.mzML
371.25,58468.914,2740,0,Cytochrome_C.mzML
371.75,7438.1714,2748,0,Cytochrome_C.mzML
372.3125,33053.426,2757,0,Cytochrome_C.mzML
372.875,37571.34,2766,0,Cytochrome_C.mzML
373.375,31228.543,2774,0,Cytochrome_C.mzML
373.9375,25894.371,2783,0,Cytochrome_C.mzML
374.3125,21243.486,2789,0,Cytochrome_C.mzML
374.75,6565.143,2796,0,Cytochrome_C.mzML
375.25,31080.143,2804,0,Cytochrome_C.mzML
376.0,9289.114,2816,0,Cytochrome_C.mzML
377.1875,45925.113,2835,0,Cytochrome_C.mzML
377.6875,3991.2856,2843,0,Cytochrome_C.mzML
378.3125,5615.3145,2853,0,Cytochrome_C.mzML
378.5625,38755.145,2857,0,Cytochrome_C.mzML
378.9375,21591.371,2863,0,Cytochrome_C.mzML
379.25,59311.94,2868,0,Cytochrome_C.mzML
379.6875,17324.8,2875,0,Cytochrome_C.mzML
380.0,12689.429,2880,0,Cytochrome_C.mzML
380.375,7578.8286,2886,0,Cytochrome_C.mzML
380.9375,9038.286,2895,0,Cytochrome_C.mzML
381.3125,41525.57,2901,0,Cytochrome_C.mzML
381.5,49072.543,2904,0,Cytochrome_C.mzML
382.25,25417.084,2916,0,Cytochrome_C.mzML
382.75,4553.086,2924,0,Cytochrome_C.mzML
383.25,30726.97,2932,0,Cytochrome_C.mzML
383.5625,14508.629,2937,0,Cytochrome_C.mzML
383.875,10473.743,2942,0,Cytochrome_C.mzML
384.3125,9302.4,2949,0,Cytochrome_C.mzML
385.0625,40695.484,2961,0,Cytochrome_C.mzML
385.8125,14728.571,2973,0,Cytochrome_C.mzML
386.25,24042.229,2980,0,Cytochrome_C.mzML
386.5625,66517.2,2985,0,Cytochrome_C.mzML
386.9375,14943.143,2991,0,Cytochrome_C.mzML
387.75,19301.514,3004,0,Cytochrome_C.mzML
388.6875,13780.143,3019,0,Cytochrome_C.mzML
388.9375,21924.514,3023,0,Cytochrome_C.mzML
389.3125,69391.03,3029,0,Cytochrome_C.mzML
389.6875,698.4,3035,0,Cytochrome_C.mzML
390.0625,15849.714,3041,0,Cytochrome_C.mzML
390.375,25481.086,3046,0,Cytochrome_C.mzML
390.8125,14405.714,3053,0,Cytochrome_C.mzML
391.25,27111.656,3060,0,Cytochrome_C.mzML
391.5625,57005.543,3065,0,Cytochrome_C.mzML
392.1875,16283.942,3075,0,Cytochrome_C.mzML
392.75,20242.943,3084,0,Cytochrome_C.mzML
393.375,171083.83,3094,0,Cytochrome_C.mzML
394.0,15056.686,3104,0,Cytochrome_C.mzML
394.3125,77028.086,3109,0,Cytochrome_C.mzML
395.3125,81920.31,3125,0,Cytochrome_C.mzML
395.625,7311.086,3130,0,Cytochrome_C.mzML
395.9375,32444.6,3135,0,Cytochrome_C.mzML
396.375,9040.371,3142,0,Cytochrome_C.mzML
396.6875,8723.515,3147,0,Cytochrome_C.mzML
396.9375,22036.514,3151,0,Cytochrome_C.mzML
397.3125,65432.285,3157,0,Cytochrome_C.mzML
398.25,23576.344,3172,0,Cytochrome_C.mzML
398.9375,2407.5144,3183,0,Cytochrome_C.mzML
